Player, Mat, inn, ov, Runs, Wkts, BBI, Avg, Econ, SR, 4W, 5W
Andre Russell,10,8,19,188,11,5/15,5/15,17.09,10.36,9.89,0
Harshal Patel,15,15,56.2,459,32,5/27,5/27,14.34,10.56,8.14,1
Jason Holder,8,8,31.5,247,16,4/52,4/52,15.43,11.93,7.75,1
Shahbaz Ahmed,11,6,14,92,7,3/7,3/7,13.14,12.00,6.57,0
Chris Woakes,3,3,11,82,5,2/18,2/18,16.40,13.20,7.45,0
Arshdeep Singh,12,12,41.2,342,18,5/32,5/32,19.00,13.77,8.27,0
Lockie Ferguson,8,8,30,224,13,3/18,3/18,17.23,13.84,7.46,0
Amit Mishra,4,4,14,109,6,4/24,4/24,18.16,14.00,7.78,1
Lungi Ngidi,3,3,12,125,5,3/28,3/28,25.00,14.40,10.41,0
Dwayne Bravo,11,11,33.4,263,14,3/24,3/24,18.78,14.42,7.81,0
Abhishek Sharma,8,6,10,64,4,2/4,2/4,16.00,15.00,6.40,0
Moises Henriques,5,5,10,45,4,3/12,3/12,11.25,15.00,4.50,0
Anrich Nortje,8,8,30.2,187,12,2/12,2/12,15.58,15.16,6.16,0
Avesh Khan,16,16,61,450,24,3/13,3/13,18.75,15.25,7.37,0
Jasprit Bumrah,14,14,55,410,21,3/36,3/36,19.52,15.71,7.45,0
Kieron Pollard,14,9,13.1,95,5,2/8,2/8,19.00,15.80,7.21,0
Chris Morris,11,11,41,376,15,4/23,4/23,25.06,16.40,9.17,1
Mohammad Shami,14,14,52.4,395,19,3/21,3/21,20.78,16.63,7.50,0
Tom Curran,3,3,11.2,104,4,3/29,3/29,26.00,17.00,9.17,0
Shardul Thakur,16,16,59.5,527,21,3/28,3/28,25.09,17.09,8.80,0
Nathan Coulter-Nile,5,5,20,127,7,4/14,4/14,18.14,17.14,6.35,1
Ravi Bishnoi,9,9,35,222,12,3/24,3/24,18.50,17.50,6.34,0
Shivam Mavi,9,9,32.1,233,11,4/21,4/21,21.18,17.54,7.24,1
Yuzvendra Chahal,15,15,53,374,18,3/11,3/11,20.77,17.66,7.05,0
Pat Cummins,7,7,26.5,237,9,3/24,3/24,26.33,17.88,8.83,0
Chris Jordan,4,4,12,96,4,2/20,2/20,24.00,18.00,8.00,0
Axar Patel,12,12,46,306,15,3/21,3/21,20.40,18.40,6.65,0
Rashid Khan,14,14,56,375,18,3/36,3/36,20.83,18.66,6.69,0
Kyle Jamieson,9,9,28,269,9,3/41,3/41,29.88,18.66,9.60,0
Josh Hazlewood,9,9,35,293,11,3/24,3/24,26.63,19.09,8.37,0
Prasidh Krishna,10,10,38.3,351,12,3/30,3/30,29.25,19.25,9.11,0
Rahul Chahar,11,11,43,318,13,4/27,4/27,24.46,19.84,7.39,1
Sunil Narine,14,14,56,361,16,4/21,4/21,22.56,21.00,6.44,1
Lalit Yadav,7,5,14,101,4,2/13,2/13,25.25,21.00,7.21,0
Kartik Tyagi,4,4,14,124,4,2/29,2/29,31.00,21.00,8.85,0
Sam Curran,9,9,33,328,9,3/34,3/34,36.44,22.00,9.93,0
Vijay Shankar,7,5,11,100,3,2/19,2/19,33.33,22.00,9.09,0
Jhye Richardson,3,3,11,117,3,2/41,2/41,39.00,22.00,10.63,0
Mustafizur Rahman,14,14,51.5,436,14,3/20,3/20,31.14,22.21,8.41,0
Chetan Sakariya,14,14,52,426,14,3/31,3/31,30.42,22.28,8.19,0
Kagiso Rabada,15,15,56,456,15,3/36,3/36,30.40,22.40,8.14,0
Ravindra Jadeja,16,16,49,346,13,3/13,3/13,26.61,22.61,7.06,0
Varun Chakaravarthy,17,17,68,448,18,3/13,3/13,24.88,22.66,6.58,0
Deepak Chahar,15,15,54,451,14,4/13,4/13,32.21,23.14,8.35,2
Trent Boult,14,14,51.2,406,13,3/28,3/28,31.23,23.69,7.90,0
Tim Southee,3,3,12,95,3,2/26,2/26,31.66,24.00,7.91,0
Dan Christian,9,9,16.4,155,4,2/14,2/14,38.75,25.00,9.30,0
Moeen Ali,15,10,25.2,161,6,3/7,3/7,26.83,25.33,6.35,0
Riley Meredith,5,5,17,169,4,1/29,1/29,42.25,25.50,9.94,0
Siddarth Kaul,8,8,30,247,7,2/31,2/31,35.28,25.71,8.23,0
Harpreet Brar,7,7,23,139,5,3/19,3/19,27.80,27.60,6.04,0
Rahul Tewatia,14,13,37,340,8,3/39,3/39,42.50,27.75,9.18,0
Adam Milne,4,4,14,131,3,2/21,2/21,43.66,28.00,9.35,0
Mohammed Siraj,15,15,52,353,11,3/27,3/27,32.09,28.36,6.78,0
George Garton,5,5,15,135,3,1/27,1/27,45.00,30.00,9.00,0
Washington Sundar,6,6,16,118,3,1/7,1/7,39.33,32.00,7.37,0
Glenn Maxwell,15,6,16,135,3,2/23,2/23,45.00,32.00,8.43,0
Khaleel Ahmed,7,7,27,219,5,3/21,3/21,43.80,32.40,8.11,0
Jaydev Unadkat,6,6,22,168,4,3/15,3/15,42.00,33.00,7.63,0
Marcus Stoinis,10,8,11.1,117,2,1/7,1/7,58.50,33.50,10.47,0
Umran Malik,3,3,12,96,2,1/21,1/21,48.00,36.00,8.00,0
Ravichandran Ashwin,13,13,44.4,331,7,2/27,2/27,47.28,38.28,7.41,0
Shakib Al Hasan,8,8,26,187,4,1/1,1/1,46.75,39.00,7.19,0
Krunal Pandya,13,12,33.1,265,5,1/13,1/13,53.00,39.80,7.98,0
Bhuvneshwar Kumar,11,11,42,335,6,1/16,1/16,55.83,42.00,7.97,0
Sandeep Sharma,7,7,23.3,203,3,1/20,1/20,67.66,47.00,8.63,0
Deepak Hooda,12,7,16,136,2,1/15,1/15,68.00,48.00,8.50,0
Jayant Yadav,5,5,17,130,2,1/25,1/25,65.00,51.00,7.64,0
Fabian Allen,4,3,11,90,1,1/22,1/22,90.00,66.00,8.18,0
Murugan Ashwin,3,3,11,97,1,1/32,1/32,97.00,66.00,8.81,0
Ishant Sharma,3,3,12,97,1,1/26,1/26,97.00,72.00,8.08,0
Nathan Ellis,3,3,12,98,1,1/20,1/20,98.00,72.00,8.16,0
